序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
165,600036,招商银行,招商银行：业绩增速回升，不良率显著下降,增持,太平洋,3,,,,,,,银行Ⅱ,2019-07-25,https://pdf.dfcfw.com/pdf/H3_AP201907251341378292_1.pdf
166,600036,招商银行,盈利能力领先同业，资产质量持续向好,买入,中银国际,3,,,,,,,银行Ⅱ,2019-07-25,https://pdf.dfcfw.com/pdf/H3_AP201907251341376619_1.pdf
167,600036,招商银行,零售优势领先，优异基本面支撑龙头溢价,买入,中银国际,3,,,,,,,银行Ⅱ,2019-07-03,https://pdf.dfcfw.com/pdf/H3_AP201907031337133162_1.pdf
168,600036,招商银行,招商银行：500亿元永续债获董事会通过，发行规模创新高,增持,太平洋,3,,,,,,,银行Ⅱ,2019-06-04,https://pdf.dfcfw.com/pdf/H3_AP201906041333602681_1.pdf
169,600036,招商银行,业绩稳健，息差走阔,持有,中航证券,3,,,,,,,银行Ⅱ,2019-05-13,https://pdf.dfcfw.com/pdf/H3_AP201905131329237380_1.pdf
170,600036,招商银行,资产结构优化带动息差走阔，资产质量保持稳健,买入,中银国际,3,,,,,,,银行Ⅱ,2019-04-30,https://pdf.dfcfw.com/pdf/H3_AP201904301324698705_1.pdf
171,600036,招商银行,年报数据表现良好，战略、业务、财务俱佳,增持,中邮证券,3,,,,,,,银行Ⅱ,2019-04-09,https://pdf.dfcfw.com/pdf/H3_AP201904091317265513_1.pdf
172,600036,招商银行,年报点评：基本面延续优秀的零售银行领头羊,增持,群益证券,3,,,,,,,银行Ⅱ,2019-03-27,https://pdf.dfcfw.com/pdf/H3_AP201903271310129351_1.pdf
173,600036,招商银行,点评报告：四季度息差继续走高,增持,万联证券,3,,,,,,,银行Ⅱ,2019-03-26,https://pdf.dfcfw.com/pdf/H3_AP201903261309647032_1.pdf
174,600036,招商银行,招商银行：业绩高增长，今年仍将继续,增持,太平洋,3,,,,,,,银行Ⅱ,2019-03-25,https://pdf.dfcfw.com/pdf/H3_AP201903251309219686_1.pdf
175,600036,招商银行,息差提升超预期，优异基本面支撑龙头溢价,买入,中银国际,3,,,,,,,银行Ⅱ,2019-03-25,https://pdf.dfcfw.com/pdf/H3_AP201903251309188548_1.pdf
176,600036,招商银行,息差走阔不良双降，顺势而变王者归来,买入,西南证券,3,,,,,,,银行Ⅱ,2019-03-24,https://pdf.dfcfw.com/pdf/H3_AP201903241309088230_1.pdf
177,600036,招商银行,2018年业绩快报点评：业绩增速平稳，资产质量持续改善,买入,中航证券,3,,,,,,,银行Ⅱ,2019-02-01,https://pdf.dfcfw.com/pdf/H3_AP201902011291429388_1.pdf
178,600036,招商银行,业绩快报点评：4Q业绩依旧保持较快增长，资产质量改善显著,买入,群益证券,3,,,,,,,银行Ⅱ,2019-01-24,https://pdf.dfcfw.com/pdf/H3_AP201901241288259956_1.pdf
179,600036,招商银行,招商银行：业绩增速维持高位，资产质量显著改善,增持,太平洋,3,,,,,,,银行Ⅱ,2019-01-24,https://pdf.dfcfw.com/pdf/H3_AP201901241288247535_1.pdf
180,600036,招商银行,业绩稳健无虞，资产质量持续向好,买入,中银国际,3,,,,,,,银行Ⅱ,2019-01-24,https://pdf.dfcfw.com/pdf/H3_AP201901241288194776_1.pdf
181,600036,招商银行,聚焦核心优势，打造竞争护城河,买入,西南证券,3,,,,,,,银行Ⅱ,2019-01-08,https://pdf.dfcfw.com/pdf/H3_AP201901081283048978_1.pdf
